#,Company,Symbol,Portfolio%,Price
375,"Epam Systems, Inc.",EPAM,0.04%,300.35
376,Jb Hunt Transport Services Inc,JBHT,0.04%,198.46
377,Cincinnati Financial Corp,CINF,0.04%,101.94
378,Seagate Technology Holdings Plcs,STX,0.04%,83.97
379,"Enphase Energy, Inc.",ENPH,0.04%,124.03
380,Western Digital Corp.,WDC,0.04%,50.51
381,Jacobs Solutions Inc.,J,0.04%,126.39
382,"Teradyne, Inc.",TER,0.04%,105.28
383,Idex Corporation,IEX,0.04%,211.93
384,Avery Dennison Corp.,AVY,0.04%,198.95
385,"Mid-America Apartment Communities, Inc.",MAA,0.04%,135.43
386,"Essex Property Trust, Inc",ESS,0.04%,246.16
387,"Citizens Financial Group, Inc.",CFG,0.04%,32.96
388,Bunge Limited,BG,0.04%,106.9
389,Synchrony Financial,SYF,0.04%,37.55
390,"Textron, Inc.",TXT,0.04%,79.6
391,"Stanley Black & Decker, Inc.",SWK,0.04%,97.28
392,Masco Corporation,MAS,0.04%,67.95
393,"Everest Group, Ltd.",EG,0.04%,363.8
394,Pool Corporation,POOL,0.04%,389.81
395,Snap-on Incorporated,SNA,0.04%,287.3
396,Quest Diagnostics Inc.,DGX,0.04%,135.82
397,Celanese Corporation,CE,0.04%,150.44
398,"Best Buy Company, Inc.",BBY,0.04%,77.32
399,"Tyson Foods, Inc.",TSN,0.04%,51.71
400,Packaging Corp of America,PKG,0.04%,164.21
401,"Lamb Weston Holdings, Inc.",LW,0.04%,107.25
402,"Cf Industries Holding, Inc.",CF,0.04%,77.2
403,Marathon Oil Corporation,MRO,0.04%,24.57
404,"Leidos Holdings, Inc.",LDOS,0.04%,107.89
405,Kellanova,K,0.04%,53.93
406,Insulet Corporation,PODD,0.04%,209.63
407,W.R. Berkley Corporation,WRB,0.04%,70.72
408,Amcor Plcs,AMCR,0.04%,9.68
409,"United Airlines Holdings, Inc.",UAL,0.04%,42.33
410,"Conagra Brands, Inc.",CAG,0.04%,29.49
411,Domino's Pizza Inc.,DPZ,0.04%,403.04
412,Eqt Corp,EQT,0.04%,38.91
413,Zebra Technologies Corporation,ZBRA,0.04%,266.68
414,"Host Hotels & Resorts, Inc.",HST,0.03%,19.26
415,Kimco Realty Corp.,KIM,0.03%,21.9
416,Keycorp,KEY,0.03%,14.11
417,Nordson Corp,NDSN,0.03%,254.78
418,Live Nation Entertainment Inc.,LYV,0.03%,93.27
419,Aes Corporation,AES,0.03%,19.02
420,Alliant Energy Corporation,LNT,0.03%,50.86
421,International Paper Co.,IP,0.03%,36.84
422,Gen Digital Inc.,GEN,0.03%,23.18
423,Trimble Inc.,TRMB,0.03%,51.65
424,The J.M. Smucker Company,SJM,0.03%,123.91
425,Loews Corporation,L,0.03%,68.5
426,"The Interpublic Group of Companies, Inc.",IPG,0.03%,32.7
427,"Revvity, Inc.",RVTY,0.03%,101.32
428,Mgm Resorts International,MGM,0.03%,43.54
429,Lkq Corporation,LKQ,0.03%,47.11
430,Viatris Inc.,VTRS,0.03%,10.1
431,The Mosaic Company,MOS,0.03%,37
432,"Evergy, Inc.",EVRG,0.03%,51.46
433,Henry (Jack) & Associates,JKHY,0.03%,166.28
434,Teleflex Incorporated,TFX,0.03%,253.24
435,"Rollins, Inc.",ROL,0.03%,42.64
436,Carmax Inc.,KMX,0.03%,75.39
437,Incyte Genomics Inc,INCY,0.03%,60.62
438,Pentair Plc,PNR,0.03%,70.16
439,Bio-Techne Corp.,TECH,0.03%,76.02
440,Molson Coors Beverage Company Class B,TAP,0.03%,61.93
441,"Charles River Laboratories International, Inc.",CRL,0.03%,228.09
442,"Udr, Inc.",UDR,0.03%,37.81
443,Regency Centers Corporation,REG,0.03%,66.74
444,"Nrg Energy, Inc.",NRG,0.03%,49.29
445,"Healthpeak Properties, Inc.",PEAK,0.03%,19.49
446,"Qorvo, Inc.",QRVO,0.03%,111.91
447,Apa Corporation,APA,0.03%,35.64
448,Westrock Company,WRK,0.03%,42.81
449,Camden Property Trust,CPT,0.03%,99.44
450,Nisource Inc.,NI,0.03%,26.39
451,Globe Life Inc.,GL,0.03%,123.1
452,Marketaxess Holdings Inc.,MKTX,0.03%,281.95
453,Ceridian Hcm Holding,CDAY,0.03%,68.64
454,Brown-Forman Corporation Class B,BF.B,0.03%,58.18
455,Eastman Chemical Company,EMN,0.03%,87.83
456,"F5, Inc.",FFIV,0.03%,179.73
457,Allegion Public Limited Company,ALLE,0.03%,117.95
458,"Caesars Entertainment, Inc.",CZR,0.03%,47.27
459,"Boston Properties, Inc.",BXP,0.03%,70.3
460,"Etsy, Inc.",ETSY,0.03%,84.46
461,"Huntington Ingalls Industries, Inc.",HII,0.03%,255.02
462,A.O. Smith Corporation,AOS,0.03%,79.39
463,"Paycom Software, Inc.",PAYC,0.02%,203.62
464,"C.H. Robinson Worldwide, Inc.",CHRW,0.02%,84.41
465,Henry Schein Inc,HSIC,0.02%,73.75
466,"Match Group, Inc",MTCH,0.02%,34.02
467,American Airlines Group Inc.,AAL,0.02%,14.24
468,Juniper Networks Inc,JNPR,0.02%,29.3
469,"Bath & Body Works, Inc.",BBWI,0.02%,41.45
470,"Universal Health Services, Inc. Class B",UHS,0.02%,149.95
471,Robert Half Inc.,RHI,0.02%,87.2
472,Hormel Foods Corporation,HRL,0.02%,31.61
473,News Corporation Class A,NWSA,0.02%,23.35
474,Campbell Soup Company,CPB,0.02%,43.76
475,"Assurant, Inc.",AIZ,0.02%,165.64
